WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
512,AFG,PPPGDP,Afghanistan,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. none Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18.835,20.852,21.557,24.858,26.983,31.404,33.252,40.403,44.323,48.18,55.963,60.181,62.948,64.231,66.301,69.501,73.091,76.624,74.792,79.678,2018
914,ALB,PPPGDP,Albania,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"Source: IMF Staff Estimates Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996",5.563,6.437,7.033,7.388,7.808,7.934,8.547,8.689,8.869,10.12,9.449,7.033,6.676,7.49,8.369,9.305,10.338,9.367,10.309,11.806,12.908,14.285,15.169,16.305,17.668,19.225,20.976,22.828,25.017,26.054,27.334,28.616,29.578,30.398,31.51,32.545,33.972,35.928000000000004,38.301,39.832,38.078,41.926,2018
612,DZA,PPPGDP,Algeria,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005",86.89,97.964,110.674,121.219,132.626,144.483,147.097,149.68,152.014,165.557,173.127,176.834,183.759,184.157,186.397,197.627,208.893,214.833,228.326,239.035,253.664,267.004,286.417,312.741,334.97,365.782,383.2,406.767,424.465,434.682,455.649,478.3,504.004,527.206,557.368,584.008,608.937,628.47,652.795,668.827,638.363,691.364,2019
614,AGO,PPPGDP,Angola,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Ministry of Planning Latest actual data: 2018. Starting from the year 2002, historical National Accounts data are provided by Angola?s National Institute of Statistics (INE). Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. Notes: Starting from the year 2002, the composition of aggregate demand was revised taking into account updated information from the authorities? National Accounts statistics. Data for prior years are based on [old information] and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No",10.31,10.789,11.456,12.404,13.623,14.546,15.269,16.285,17.893,18.602,18.633,21.59,24.601,27.946,31.543,35.541,40.249,43.921,46.499,48.199,50.782,54.078,62.441,65.502,74.633,88.524,101.734,119.104,134.978,137.175,145.516,153.714,170.045,181.601,193.882,197.749,194.641,198.009,200.4,200.83,199.329,208.589,2018
311,ATG,PPPGDP,Antigua and Barbuda,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"Source: Central Bank Latest actual data: 2018. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.† GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Nominal GDP is measured at market prices and real GDP is measured at factor cost, hence the GDP deflator is not equal to 100. Chain-weighted: No",0.268,0.304,0.323,0.353,0.403,0.448,0.509,0.556,0.606,0.663,0.708,0.748,0.774,0.834,0.909,0.888,0.963,1.034,1.095,1.152,1.256,1.22,1.252,1.353,1.469,1.612,1.872,2.1,2.14,1.896,1.772,1.774,1.869,1.89,1.998,2.097,2.235,2.348,2.583,2.767,2.506,2.758,2018
213,ARG,PPPGDP,Argentina,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No,177.139,182.761,187.943,202.595,214.104,205.522,224.641,236.018,239.561,231.51,236.961,270.693,305.378,332.154,359.023,356.122,382.685,420.859,441.982,433.185,439.374,429.214,388.504,431.157,482.22,541.253,602.507,674.423,715.435,678.224,755.6,817.698,824.828,859.487,853.398,885.833,876.387,916.719,915.749,911.562,864.887,920.972,2018
911,ARM,PPPGDP,Armenia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.908,4.318,4.649,5.127,5.491,5.775,6.206,6.496,7.029,7.864,9.171,10.654,12.087,14.222,16.586,19.374,21.123,18.272,18.892,20.193,22.048,23.2,24.482,25.542,25.857,28.324,30.534,33.426,33.141,35.399,2018
314,ABW,PPPGDP,Aruba,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2017. The Central Bureau of Statistics (CBS) has compiled GDP at current prices by the production and expenditure approaches up to 2009 and has recently done so for the period 2013-17. GDP at constant prices by the expenditure approach has been estimated and disseminated by the Central Bank of Aruba up to 2017. The CBS is still working on the their update and revision of Aruba's National Account Statistics. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 2000",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.3,2.372,2.582,2.66,2.736,3.009,2.984,2.932,3.046,3.375,3.522,3.667,3.842,3.923,3.505,3.427,3.622,3.641,3.859,3.966,3.989,4.05,4.223,4.377,4.472,3.883,4.438,2017
193,AUS,PPPGDP,Australia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2019. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017/18. The base period is 2017Q3-2018Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted",155.502,177.239,188.308,194.757,214.59,233.456,243.986,262.253,283.049,307.749,324.062,331.671,347.916,370.051,396.467,416.273,441.495,469.668,497.29,526.963,555.05,582.038,615.701,644.593,689.197,732.189,774.765,830.802,869.539,892.644,924.365,970.492,"1,026.70","1,066.93","1,114.73","1,152.31","1,196.55",1249.09,"1,314.46","1,362.07","1,279.36","1,384.02",2019
122,AUT,PPPGDP,Austria,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995",84.888,92.827,100.443,107.304,111.545,117.654,122.832,127.985,133.772,144.42,156.336,167.186,174.576,179.654,187.897,196.955,205.372,213.287,223.413,234.699,248.045,256.697,265.065,272.529,287.52,303.129,323.09,344.136,355.952,345.164,355.601,373.64,383.398,390.224,400.074,408.34,421.161,439.71799999999996,461.331,476.812,446.265,475.484,2019
